Track Name,Artist(s),Album,Release Date,Track URI,Round Name
Everytime We Touch,Cascada,Everytime We Touch (Premium Edition),2010-02-12,spotify:track:5YJtMNWKe55yr49cyJgxva,Dancefloor
24K Magic,Bruno Mars,24K Magic,2016-11-17,spotify:track:6b8Be6ljOzmkOmFslEb23P,Dancefloor
Come On Eileen - Single Edit,"Dexys Midnight Runners, Kevin Rowland",Come On Eileen / Dubious,2009-01-01,spotify:track:6nWcEzyxDozQcmxMoNJtYx,Dancefloor
Five More Hours,"Deorro, Chris Brown",Five More Hours (Deorro x Chris Brown),2015-03-03,spotify:track:6omW6DQqbdBwJ4NKAcyAng,Dancefloor
Don't Start Now,Dua Lipa,Don't Start Now,2019-10-31,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,Dancefloor
Turn off the Lights,"Chris Lake, Alexis Roberts",Turn off the Lights,2018-02-23,spotify:track:7dsImih2L25fa6qjNphBI7,Dancefloor
"Vivaldi: The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto","Antonio Vivaldi, Itzhak Perlman, Israel Philharmonic Orchestra",Vivaldi: The Four Seasons,1985-01-01,spotify:track:0ON4FYmS4Zch1NV0lhv9hX,Classical Music
Hypnotica,"Thomas Bergersen, Two Steps from Hell",Invincible,2010-05-03,spotify:track:0QaxMwz9iDegICYqhXAh61,Classical Music
"The Four Seasons: Concerto No. 4 in F Minor, RV 297 ""L'inverno"" (winter): I. Allegro non molto","Antonio Vivaldi, Adrian Chandler, La Serenissima",The Four Seasons • Concertos for Bassoon and Violin 'in tromba marina',2015-09-04,spotify:track:0ROMalDdNg3L2HoZP4qFyJ,Classical Music
"""In The Hall Of The Mountain King"" from Peer Gynt Suite N°1, Op. 46",London Symphony Orchestra,The London Symphony Orchestra: The Top 100 of Classical Music,2010-01-11,spotify:track:14Qcrx6Dfjvcj0H8oV8oUW,Classical Music
Anitra's Dance,London Symphony Orchestra,Classical Favourites - An Hour Of The World's Best Loved Music,2018-09-28,spotify:track:1Aozvs1CIdllsgoCK5mrSC,Classical Music
Für Elise,Ludwig van Beethoven,Classical Best Of,2009-03-01,spotify:track:1DfGPEHxTYeaJpiNA4xUb5,Classical Music
William Tell Overture,"Gioachino Rossini, Arthur Fiedler, Boston Pops Orchestra","I don't like classical music, but I really like this!",2014-06-13,spotify:track:1ISbc05WTtcVh7q7QOXuu4,Classical Music
Thunderstruck,2CELLOS,Celloverse,2015-01-09,spotify:track:1taz71WL8grTxW6JLiL1i8,Classical Music
"Serenade No. 13 in G Major, K. 525, ""Eine kleine Nachtmusik"": I. Allegro","Wolfgang Amadeus Mozart, Capella Istropolitana, Wolfgang Sobotka",Mozart: Kleine Nachtmusik (Eine) / Serenata Notturna / Divertimento No. 10,1988-02-05,spotify:track:1VYOAY7yevYbOj3AFupzSu,Classical Music
"Peer Gynt Suite No. 1, Op. 46: III. Anitra's Dance","Edvard Grieg, The City of Prague Philharmonic Orchestra, Richard Hein",Mythical Horizons,2023-06-29,spotify:track:24M5Xk2il3L9NEycnKE3cg,Classical Music
"Symphony No. 40 in G Minor, K. 550: I. Molto allegro","Wolfgang Amadeus Mozart, Cologne New Philharmonic Orchestra, Volker Hartung","Mozart: Symphony No. 40 in G Minor, Bassoon Concerto & Flute Serenades Nos. 1 & 3",2017-12-08,spotify:track:2K4li6gzDcFNkCtNfjMSsi,Classical Music
I Can,Nas,God's Son,2002-12-13,spotify:track:2NPxL1QqPrD1a7OLHjVcAP,Classical Music
"Serenade No. 13 in G Major, K. 525 ""Eine kleine Nachtmusik"": I. Allegro","Wolfgang Amadeus Mozart, Wiener Kammerphilharmonie",Eine kleine Nachtmusik,1991-12-27,spotify:track:2O0tYnL4ZgIntR1J7HWwh6,Classical Music
Blue Monday,Sebastian Böhm,Blue Monday,2019-12-09,spotify:track:2ZprZEv9BsI2m60vuDHBSI,Classical Music
Dark Colossus (Kaiju),"帆足圭吾, 岡部啓一",NieR:Automata Original Soundtrack,2017-03-29,spotify:track:3CGG2wh4hu4Gj9CcXFOfqw,Classical Music
"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto","Ludwig van Beethoven, Paul Lewis","Beethoven: Piano Sonatas, Vol.3",2007-09-25,spotify:track:3DNRdudZ2SstnDCVKFdXxG,Classical Music
"Carmina Burana / Fortuna Imperatrix Mundi: ""O Fortuna""","Carl Orff, Brighton Festival Chorus, Royal Philharmonic Orchestra, Antal Doráti",Orff: Carmina Burana,1975-01-01,spotify:track:47J2TBfDpGQUfHkErP78Tw,Classical Music
Annie's Song,John Denver,Back Home Again,1974-06-15,spotify:track:4J0DbyODwZJcmIAiTSJfMF,Classical Music
"String Quartet No. 3, ""Mishima"": VI. Mishima / Closing","Philip Glass, Carducci String Quartet",Glass: String Quartets Nos. 1-4,2010-06-01,spotify:track:4qZh3yJ7tILlDD0Wmv7Ftj,Classical Music
"Piano Concerto No. 2 in C Minor, Op. 18: 2. Adagio sostenuto","Sergei Rachmaninoff, Valentina Lisitsa, London Symphony Orchestra, Michael Francis",Rachmaninov: Piano Concerto No.2,2012-01-01,spotify:track:4rrrn8OLrttq7r9RgNXalU,Classical Music
"The Planets, Op. 32: 4. Jupiter, the Bringer of Jollity","Gustav Holst, Berliner Philharmoniker, Herbert von Karajan",Holst: The Planets,1981-01-01,spotify:track:59Id4KrBWiizuq53doxWtp,Classical Music
"Suite Bergamasque, L. 75: III. Clair de lune (Andante très expressif)","Claude Debussy, Alain Planès","Debussy: Children's Corner, Suite bergamasque, Images",2007-07-31,spotify:track:6N7JzrteJv8lsr1GWYyu0b,Classical Music
1812 Overture,"Pyotr Ilyich Tchaikovsky, Royal Philharmonic Orchestra, Philip Ellis",Last Night of the Proms,2007-08-03,spotify:track:6oWacAPUt8LMXqRkEk2MNg,Classical Music
The 13th Struggle,Yoko Shimomura,KINGDOM HEARTS -HD 2.5 ReMIX- (Original Soundtrack),2023-02-08,spotify:track:6Qnm3AvpPSOfaHbUmAY9vQ,Classical Music
1812 Overture Op.49 - Finale,Berlin Symphonic Orchestra,World Classical 2010,2010-05-01,spotify:track:78ZA7OybDvDl6Lx07l8EW4,Classical Music
Nocturne with No Moon,Ennio Morricone,The Legend of 1900 (Original Motion Picture Soundtrack),1998,spotify:track:7fNvm9mCjQ49iyWDpPsxrp,Classical Music
女扮男生,At17,Threesome,2007,spotify:track:0pujceqmx9uhErQDU7Zo50,Songs not in English
Foux Du Fafa,Flight of the Conchords,Flight Of The Conchords,2008-04-22,spotify:track:0ws73KuD7D3Huy70hLl7xq,Songs not in English
Hoppípolla,Sigur Rós,Takk...,2005-09-12,spotify:track:0yQPpUq5BJyqah5m2Q5Stt,Songs not in English
The Unsung War,"PROJECT ACES, Bandai Namco Game Music",ACE COMBAT5 THE UNSUNG WAR Original Soundtrack,2023-09-12,spotify:track:141TAZJW27CJuYAwyEOICK,Songs not in English
Taal Se Taal,"Alka Yagnik, Udit Narayan",Taal (Original Motion Picture Soundtrack),1999-08-13,spotify:track:1s2BVgfna5AW7LCw9rf02r,Songs not in English
Erreur 404,L'Impératrice,Matahari (French Version),2018-03-02,spotify:track:1xlBBF8plcM6vHQfOM9Fs7,Songs not in English
Gasolina,Daddy Yankee,Barrio Fino (Bonus Track Version),2004-07-13,spotify:track:228BxWXUYQPJrJYHDLOHkj,Songs not in English
La Bamba - Single Version,Ritchie Valens,Ritchie Valens,1959,spotify:track:2aEeghgUcnu75tzcolFMfs,Songs not in English
El Prao Prao,Los Kechus,Mami,2017-11-04,spotify:track:2kLpmsGejQ1Jxn4aiwv3x3,Songs not in English
My Wing (Remake),Otyken,Kykakacha,2021-06-17,spotify:track:3bAIo1ooDigEnD63UzGR51,Songs not in English
"Non, je ne regrette rien",Édith Piaf,Eternelle,1987-10-31,spotify:track:3dkIE8P7hvl3tHl9KSb6dA,Songs not in English
茜色が燃えるとき,SCOOBIE DO,Beautiful Days,2004-07-21,spotify:track:3O3XLp1UXw7YW3Q3JYMrRn,Songs not in English
Sæglópur,Sigur Rós,Takk...,2005-09-12,spotify:track:3OAf2iksV6MRLzqtUglTDq,Songs not in English
Tu es beau,Yelle,Pop-Up,2007-08-31,spotify:track:3Q434tG4MdftCIgsYP0xQa,Songs not in English
Ó Valhalla,SKÁLD,Vikings Chant (Alfar Fagrahvél Edition),2019-09-20,spotify:track:3tlkmfnEvrEyL35tWnqHYl,Songs not in English
ただ君に晴れ,ヨルシカ,負け犬にアンコールはいらない,2018-05-09,spotify:track:3wJHCry960drNlAUGrJLmz,Songs not in English
When The Rain Stops,Hoody,When The Rain Stops,2021-10-11,spotify:track:44SDHCVr81qmi5YL1GSNXx,Songs not in English
Baianá,Barbatuques,O Seguinte é Esse,2005-01-01,spotify:track:4bndkI1TTh7itdsyixtDoD,Songs not in English
The Prayer of François Villon (Molitva),Regina Spektor,What We Saw from the Cheap Seats (Deluxe Version),2012-05-25,spotify:track:4HJCn4drFd8Gcglm9NjzsX,Songs not in English
Dragostea Din Tei,O-Zone,DiscO-Zone,2002,spotify:track:4nnHlGaBwJHb1rBetqj0Yl,Songs not in English
Kołysanka dla nieznajomej,Perfect,Autobiografia (The Best),2005-07-27,spotify:track:4oLgclTNif24XEFC7O7we4,Songs not in English
Megitsune,BABYMETAL,BABYMETAL,2015-05-11,spotify:track:4pUNH4rWiabtBxj2UiGCKN,Songs not in English
99 Luftballons,Nena,Nena,1983-09-23,spotify:track:4ZhPLoMzZwewHLLjV1J15c,Songs not in English
Tequila,The Champs,Greatest Hits / Tequila,1994-04-19,spotify:track:5gJKsGij5oGt5H5RSFYXPa,Songs not in English
Woman - Sofi Tukker Remix,"Rema, Sofi Tukker, Mavins",Woman (Sofi Tukker Remix),2021-04-02,spotify:track:5hLD4viaS6zWqbelTa6YNI,Songs not in English
Guantanamera,Joseito Fernández,La Música de La Bodeguita: Vol. 1 De Cuba con Sabor,2006-01-01,spotify:track:6ek8f65UGCZaiIBcXkexlE,Songs not in English
Tuyo (Narcos Theme) [Extended Version] - A Netflix Original Series Soundtrack,Rodrigo Amarante,Tuyo (Narcos Theme) [Extended Version] [A Netflix Original Series Soundtrack],2018-11-16,spotify:track:6g2BiiVQqY5v1S4HIrM54F,Songs not in English
Despacito,"Luis Fonsi, Daddy Yankee",VIDA,2019-02-01,spotify:track:6habFhsOp2NvshLv26DqMb,Songs not in English
Baba Yetu,"Christopher Tin, Soweto Gospel Choir",Calling All Dawns,2009-10-01,spotify:track:6UDFkqHY5gLREnSh9jd5th,Songs not in English
Guren no Yumiya,Linked Horizon,Shingeki no Kiseki,2017,spotify:track:70p3HYq9iHZisJqpDmWd1U,Songs not in English
Mil Horas,Los Abuelos De La Nada,1982-1987 - Himnos Del Corazón,1999,spotify:track:7JEnT0uFWcwZqNZWv7hC9N,Songs not in English
Caramelldansen,Caramella Girls,Supergott (Speedy Mixes),2008-01-05,spotify:track:7MwwPyZJ7UKFROj2oVnH6R,Songs not in English
He's a Pirate,Klaus Badelt,Pirates of the Caribbean: The Curse of the Black Pearl (Original Motion Picture Soundtrack),2003-07-22,spotify:track:08QaHlMPWuO5PUxjl61bXn,Ship Voyage
Sea Legs,"Run The Jewels, El-P, Killer Mike",Run The Jewels,2013-06-26,spotify:track:0ATVlCuG5QA2Y0WJg45Awc,Ship Voyage
Surf,Sable,Kanto EP,2015-03-23,spotify:track:0CN4qhF3IUN2T8It1Ttu8X,Ship Voyage
"Yo, Ho, Ho! (And a Bottle of Rum)",Craig Toungate,Disney's Ultimate Swashbuckler Collection,2006-01-01,spotify:track:0DgctWKqMDJsTcLIdLullK,Ship Voyage
"Rolex, the Ocean",Jonah Yano,"Rolex, the Ocean",2018-10-03,spotify:track:0igLG9dfL33XFXpfyZgmb4,Ship Voyage
Come Sail Away,Styx,The Grand Illusion,1977-01-01,spotify:track:0PsbWiVtix5FoTZ1s00mEl,Ship Voyage
Drink,Alestorm,Sunset on the Golden Age,2014-08-04,spotify:track:0SPHbfBIe0mdRnae2MWuzr,Ship Voyage
WHALE,Yellow Ostrich,The Mistress,2011,spotify:track:1NQkPT6lGkCe5N3gVhRyZD,Ship Voyage
Santiana,The Longest Johns,Between Wind And Water,2018-06-07,spotify:track:21Jm43WPaIsv82UJsPkMF0,Ship Voyage
Barrett's Privateers,Stan Rogers,Between The Breaks Live!,1979,spotify:track:2636yvI6PfH8lfIO3Kx5t2,Ship Voyage
Exotica,Parcels,Parcels,2018-10-12,spotify:track:2eC43PWHMbUnwqCRZcbGfo,Ship Voyage
Leave Her Johnny,"Sean Dagher, Nils Brown, Michiel Schrey, Assassin's Creed",Assassin's Creed 4: Black Flag (Sea Shanty Edition) [Original Game Soundtrack],2013-10-29,spotify:track:2vaa0nnDnNTlxCh7fCmjsr,Ship Voyage
Bismarck,Sabaton,Bismarck,2019-05-17,spotify:track:39m87lOMd5ccENPVvAT7gH,Ship Voyage
Electric Feel,MGMT,Oracular Spectacular,2007-12-14,spotify:track:3FtYbEfBqAlGO46NUDQSAt,Ship Voyage
I'm On A Boat,"The Lonely Island, T-Pain",Incredibad,2009,spotify:track:3IQSYqnKsCTMLWn2xE3HFT,Ship Voyage
Treat Me Like a Pirate (feat. Whatchyamacallit),"Flynt Flossy, Yung Humma, Whatchyamacallit",Turquoise J33P Records: Existing Musical Beings,2014-01-17,spotify:track:3PPAPcQCsSkeX9JxPn7Pix,Ship Voyage
The Lighthouse,Dawuna,Glass Lit Dream,2021-11-05,spotify:track:4ks2FEl7f8kNn0vzh3tQBd,Ship Voyage
The Flying Dutchman,The Jolly Rogers,X X V,2016-08-30,spotify:track:4m6d1gakr80NsDIOX4B43p,Ship Voyage
True,Spandau Ballet,The Twelve Inch Mixes,1986-06-30,spotify:track:4q2lRiodoQnyFO65watkse,Ship Voyage
Wellerman - Sea Shanty,Nathan Evans,Wellerman (Sea Shanty),2021-01-21,spotify:track:54OBgO0Xwu20Jak9TMXbR7,Ship Voyage
What Is and What Should Never Be - 1990 Remaster,Led Zeppelin,Led Zeppelin II (1994 Remaster),1969-10-22,spotify:track:5G7uLHtoEW140QOcBpJlfz,Ship Voyage
Sea Shanty Medley,Home Free,Sea Shanty Medley,2021-03-19,spotify:track:5mkoR8mVrEwpDQc9y54sM2,Ship Voyage
Kokomo,The Beach Boys,The Very Best Of The Beach Boys: Sounds Of Summer,2003-01-01,spotify:track:5qHYXcVvc9xsFB2uH7GpMN,Ship Voyage
Drunken Sailor,The Irish Rovers,Drunken Sailor,2012-02-22,spotify:track:5Su5ILFp6U83cnIXwfmlC5,Ship Voyage
Message In A Bottle - Remastered 2003,The Police,Reggatta De Blanc,1979-10-02,spotify:track:5xD021bM8VbqrhCVhxRozx,Ship Voyage
Take You There,Sean Kingston,Sean Kingston,2008-03-11,spotify:track:6AdLyvisRKHLAwARaZMGr6,Ship Voyage
One More Pull,"The Wellermen, The Longest Johns",The Wellermen,2023-02-10,spotify:track:6gDpLHPrId2edxNY0sLK4z,Ship Voyage
Ocean Man,Ween,The Mollusk,1997-04-18,spotify:track:6M14BiCN00nOsba4JaYsHW,Ship Voyage
Wellerman,The Longest Johns,Between Wind And Water,2018-06-07,spotify:track:6ZblDQM0Gq0daaPAwuHOmD,Ship Voyage
Sail,AWOLNATION,Megalithic Symphony,2011-03-15,spotify:track:7ueP5u2qkdZbIPN2YA6LR0,Ship Voyage
Run Boy Run,Woodkid,The Golden Age,2013-01-01,spotify:track:0boS4e6uXwp3zAvz1mLxZS,Fistfighting a Rooster
The Chicken,Bo Burnham,INSIDE (DELUXE),2022-06-03,spotify:track:0k7tFat3QoVTtvMlwAgPaT,Fistfighting a Rooster
Brothers In Arms,Junkie XL,Mad Max: Fury Road (Original Motion Picture Soundtrack),2015-05-12,spotify:track:0rljrAA4HuyJxO5Y4ksY4S,Fistfighting a Rooster
Rooster (2022 Remaster),Alice In Chains,Dirt (2022 Remaster),1992-09-29,spotify:track:0wvIGFIgbyz4JNwQhZgTv2,Fistfighting a Rooster
Gamma Knife,King Gizzard & The Lizard Wizard,Nonagon Infinity,2016-04-29,spotify:track:0yxzfsmzMOCRhbHBpFjXzL,Fistfighting a Rooster
Hit 'Em Up - Single Version,"2Pac, Outlawz",Greatest Hits,1998-01-01,spotify:track:0Z2J91b2iTGLVTZC4fKgxf,Fistfighting a Rooster
Change Your Life (You Can Do It),Dan Deacon,Change Your Life (You Can Do It),2016-09-07,spotify:track:17MXoU0jFQnhpf05xqDc8P,Fistfighting a Rooster
"Blockbuster Night, Pt. 1","Run The Jewels, El-P, Killer Mike",Run the Jewels 2,2014-10-27,spotify:track:1AESnzWt4iMrEPGG7TjXAa,Fistfighting a Rooster
Headstrong,Trapt,Trapt,2002-11-05,spotify:track:1AEYT6VxrxXPMoQUxsY0E4,Fistfighting a Rooster
X Gon' Give It To Ya,DMX,The Best Of DMX,2010-01-26,spotify:track:1FgeteSBYT80nWH1edeiMe,Fistfighting a Rooster
Cafo,Animals As Leaders,Animals as Leaders,2009-04-28,spotify:track:1ZfnGTUnha3QHj3KFmub0W,Fistfighting a Rooster
Tubthumping,Chumbawamba,Tubthumper,1997-09-01,spotify:track:22HYEJveCvykVDHDiEEmjZ,Fistfighting a Rooster
Kung Fu Fighting,Carl Douglas,The Soul of the Kung Fu Fighter,2001,spotify:track:40NRm1ZLvZpUSCUXAGGZ8J,Fistfighting a Rooster
Cigaro,System Of A Down,Mezmerize,2005-05-17,spotify:track:47EqCQZG5v4o0WFMufGf5S,Fistfighting a Rooster
Ladies And Gentlemen,Saliva,Blood Stained Love Story,2007-01-01,spotify:track:48ncRBVLgiu8MY7O70VVw5,Fistfighting a Rooster
Never Fight A Man With A Perm,IDLES,Joy as an Act of Resistance.,2018-08-31,spotify:track:4B4CQ84BBpHK5d02cWKUb0,Fistfighting a Rooster
David De La Hoz,The Chariot,Long Live,2010-11-22,spotify:track:4K2dhclnoO8NlFFiwCrG4p,Fistfighting a Rooster
Free Bird,Lynyrd Skynyrd,Pronounced' Leh-'Nerd 'Skin-'Nerd,1973-01-01,spotify:track:5EWPGh7jbTNO2wakv8LjUI,Fistfighting a Rooster
Rasputin,Boney M.,Daddy Cool,1994-03-14,spotify:track:5lWSa1rmuSL6OBPOnkAqoa,Fistfighting a Rooster
You're Going Down,Sick Puppies,Tri-polar,2010-01-01,spotify:track:5omWAB5iNMHvbAfBSzkdu8,Fistfighting a Rooster
Fight Dirty,"Guignol, Mischief Brew",Fight Dirty,2010-04-13,spotify:track:5S9fViU9VoQiT6ZX347RhJ,Fistfighting a Rooster
Damn! (feat. Lil' Jon) - Club Mix,"Youngbloodz, Lil Jon",Drankin' Patnaz,2003-07-25,spotify:track:5TpaWJKnuyA4MjzAbFXSTQ,Fistfighting a Rooster
Bushes of Love,Bad Lip Reading,Bushes of Love,2015-12-18,spotify:track:75LOt4i3Xlmpu8bFu4kdUR,Fistfighting a Rooster
Get Got,Death Grips,The Money Store,2012-04-23,spotify:track:781V2Y5LPtcpgONEOadadE,Fistfighting a Rooster
"Gonna Fly Now - Theme From ""Rocky""",Bill Conti,Rocky (Original Motion Picture Score),1976-10-14,spotify:track:7iXYRR70wewzVYzWScm99j,Fistfighting a Rooster
Jaguar God,Mastodon,Emperor of Sand,2017-03-31,spotify:track:7lGOFEVWK0jzpLMFuR4ANh,Fistfighting a Rooster
I'm Shipping Up To Boston,Dropkick Murphys,The Warrior's Code,2005-07-19,spotify:track:7rSERmjAT38lC5QhJ8hnQc,Fistfighting a Rooster
You Spin Me Round (Like a Record),Dead Or Alive,Youthquake,1985-03-26,spotify:track:7uHO4AmKtyGa5v5fsElGoC,Fistfighting a Rooster
Run Away With Me,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),2015,spotify:track:0FS7B5o3QyvOD8eWjnbLoO,Female Popstars
Chemicals,Rosemary Fairweather,Heavenly,2016-11-04,spotify:track:1Jl74ao9nBADj4KtQmwCIF,Female Popstars
Ain't No Mountain High Enough,Diana Ross,Diamond Diana: The Legacy Collection,2017-11-17,spotify:track:1KbuhBnzMHp4eq1q6flhWd,Female Popstars
Malibu,Miley Cyrus,Younger Now,2017-09-29,spotify:track:1UZOjK1BwmwWU14Erba9CZ,Female Popstars
Dog Days Are Over,Florence + The Machine,Lungs (Deluxe Edition),2009,spotify:track:1YLJVmuzeM2YSUkCCaTNUB,Female Popstars
Gone,"Charli XCX, Christine and the Queens",Charli,2019-09-13,spotify:track:1yUJK3qxPiFiPeAG2gLfuW,Female Popstars
Super Bass,Nicki Minaj,Pink Friday,2010-01-01,spotify:track:2jSwKQBouf0brIcxGfA9CZ,Female Popstars
Lost on You,LP,Lost on You,2017-05-05,spotify:track:2LIh4uzqq9cXMPzzmcToHl,Female Popstars
Chandelier,Sia,1000 Forms Of Fear (Deluxe Version),2015-05-04,spotify:track:2s1sdSqGcKxpPr5lCl7jAV,Female Popstars
Blank Space,Taylor Swift,1989 (Deluxe Edition),2014-10-27,spotify:track:2sC2P3BN0IXujNaaSyDmtP,Female Popstars
Call Your Girlfriend,Robyn,Body Talk,2010-01-01,spotify:track:2sCoROOlNQyFpRQEe6A5lv,Female Popstars
New Romantics (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,spotify:track:2vPMoMDXxu9uX1igWZmXSG,Female Popstars
Bulletproof,La Roux,La Roux,2009,spotify:track:3kMrazSvILsgcwtidZd1Qd,Female Popstars
We Belong Together,Mariah Carey,The Emancipation of Mimi,2005-04-12,spotify:track:3LmvfNUQtglbTrydsdIqFU,Female Popstars
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,Voulez-Vous,1979,spotify:track:3vkQ5DAB1qQMYO4Mr9zJN6,Female Popstars
Genesis,Grimes,Visions,2012-02-21,spotify:track:4sCYKMatyhazyy6r2N7Hp2,Female Popstars
A Thousand Miles,Vanessa Carlton,Be Not Nobody,2002-04-30,spotify:track:4w1lzcaoZ1IC2K5TwjalRP,Female Popstars
Shake It Off,Taylor Swift,1989,2014-10-27,spotify:track:5xTtaWoae3wi06K5WfVUUH,Female Popstars
Toxic,Britney Spears,In The Zone,2003-11-13,spotify:track:6I9VzXrHxO9rA9A5euc8Ak,Female Popstars
Supercut,Lorde,Melodrama,2017-06-16,spotify:track:6K8VQ84MqhsoakN5MjrnVR,Female Popstars
Ta reine,Angèle,Brol La Suite,2019-11-07,spotify:track:6nsLrJq5YIACRcKqY873Wi,Female Popstars
Criminal,Fiona Apple,Tidal,1996-07-23,spotify:track:6PNvv1dmDbOWrAYwEcuKBX,Female Popstars
brutal,Olivia Rodrigo,SOUR,2021-05-21,spotify:track:6SRsiMl7w1USE4mFqrOhHC,Female Popstars
telepatía,Kali Uchis,Sin Miedo (del Amor y Otros Demonios) ∞,2020-12-04,spotify:track:6tDDoYIxWvMLTdKpjFkc1B,Female Popstars
Build a Bitch,Bella Poarch,Build a Bitch,2021-05-14,spotify:track:7BoobGhD4x5K96Me0hqC8Q,Female Popstars
Cannes,Romane Santarelli,Cannes,2020-10-23,spotify:track:7GNcYtI60RBrex8dM6j4RB,Female Popstars
"Lady Marmalade - From ""Moulin Rouge"" Soundtrack","Christina Aguilera, Lil' Kim, Mýa, P!nk",Moulin Rouge,2001-01-01,spotify:track:7GQqj9jRtDkMp8zByehXQI,Female Popstars
Respect,Aretha Franklin,I Never Loved a Man the Way I Love You,1967-03-10,spotify:track:7s25THrKz86DM225dOYwnr,Female Popstars
BLACKOUT,Turnstile,GLOW ON,2021-08-27,spotify:track:0bGImSqDB2ebdeoCidUC8o,Headbangers
Party Hard,Andrew W.K.,I Get Wet,2001-01-01,spotify:track:0E0bZtTG39K95uRjqBo1Mx,Headbangers
Savage (feat. Flux Pavilion & MAX),"Whethan, Flux Pavilion, MAX",Savage (feat. Flux Pavilion & MAX),2016-12-06,spotify:track:0kD586ste6xyDRqUYhVlCh,Headbangers
Sabotage,Beastie Boys,Ill Communication,1994-05-23,spotify:track:0Puj4YlTm6xNzDDADXHMI9,Headbangers
Bulls On Parade,Rage Against The Machine,Evil Empire,1996-04-16,spotify:track:0tZ3mElWcr74OOhKEiNz1x,Headbangers
Pull Harder on the Strings of Your Martyr,Trivium,Ascendancy,2005-03-07,spotify:track:0UXaslpoA81no74N7U56U9,Headbangers
For Those About to Rock (We Salute You),AC/DC,For Those About to Rock (We Salute You),1981-11-23,spotify:track:17lu4tymfnhmcIDlzBbtAb,Headbangers
Doin' The Cockroach,Modest Mouse,The Lonesome Crowded West,1997-11-18,spotify:track:19KYXwOkJXAC6ymLvZYlt6,Headbangers
I Bet You Look Good On The Dancefloor,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",2006-02-21,spotify:track:20fdsKwT2UQGKB1WjF8LfI,Headbangers
