Round ID,Created,Name,Playlist URL,League ID
37d1033c7ed14201ac08c451524826f3,2024-01-12T15:53:44Z,Recent Favs,https://open.spotify.com/playlist/7FBvuYex9fNPeRP93NIpWg,b8635c39e0d44b1ea982998484ada669
f2172e50d7e14f3a8cfb74d9bb28cbc3,2024-02-05T15:01:07Z,Comedy Open Mic Night,https://open.spotify.com/playlist/17gr5h8wjmaQena5KsDukK,b8635c39e0d44b1ea982998484ada669
b80ea3118aa248b482bf35115a516238,2024-02-05T15:01:07Z,Unknown Artists,https://open.spotify.com/playlist/16gknDb15NHu21icgYQXTu,b8635c39e0d44b1ea982998484ada669
e6bcc89a6a954d5993b3d71c5008f145,2024-02-05T15:01:07Z,Songs that describe who you are,https://open.spotify.com/playlist/0h9oWoC5WN4YIn3dwE2SwI,b8635c39e0d44b1ea982998484ada669
f7c60f54ab304d37a1b282ea0e2095a6,2024-02-05T15:01:08Z,Songs from TV/Movies/Media,https://open.spotify.com/playlist/57Q3wjCfdruD84JXepiGhT,b8635c39e0d44b1ea982998484ada669
9995dd274517446d91da6fcfab71dac9,2024-02-05T15:01:08Z,Goat's Cook Book,,b8635c39e0d44b1ea982998484ada669
e67aa2536b494f5b832fb577e9f025d9,2024-02-05T15:01:08Z,Phone a Friend,,b8635c39e0d44b1ea982998484ada669
21d44c0e63b441d3b18edb10c9b9791f,2024-02-05T15:01:08Z,Blast from the Past,,b8635c39e0d44b1ea982998484ada669
d82127c9de704e4b882f7783c00b1fd9,2024-02-05T15:01:08Z,Songs to fall asleep to,,b8635c39e0d44b1ea982998484ada669
14e51ac1c2ba479bb767f7f8b4e50b16,2024-02-05T15:01:09Z,Songs for when you are zooted out of your mind and the walls start talking,,b8635c39e0d44b1ea982998484ada669
ef20fabbbccc4d51949aee9080847f63,2023-11-12T14:25:35Z,Recent Favs,https://open.spotify.com/playlist/5wzYUCxiKTUC9jH4ANGuFr,c7cb8bc87987470c96d33fcaafc938ed
3e0f056e57a94d6f947cc69386868afc,2023-11-27T19:31:40Z,Problematic Artists,https://open.spotify.com/playlist/2mdkqDRyO8vdzA6L52dvvv,c7cb8bc87987470c96d33fcaafc938ed
8443b8d7730c4869a1b8c4644348dac8,2023-11-27T19:31:40Z,Sub 2 minute Bangers,https://open.spotify.com/playlist/36pBAukQhIAmGj18Dt0uTP,c7cb8bc87987470c96d33fcaafc938ed
a4c40c15c1654520a93b802d5adf25b7,2023-11-27T19:31:40Z,Songs that make you cry,https://open.spotify.com/playlist/57XAFaxrq3mfdc4P62a1wJ,c7cb8bc87987470c96d33fcaafc938ed
c8d6340b8a244ebfba013d77d1e5ee47,2023-11-27T19:31:40Z,Music to wake up to,https://open.spotify.com/playlist/6WM1PyRN38pfRjFzTX0dcK,c7cb8bc87987470c96d33fcaafc938ed
a4293cdc558346e7b01637cf58db6dd7,2023-11-27T19:31:41Z,Sell me on an album,https://open.spotify.com/playlist/1OkUeeqOi9ZcXnGv8zWHKr,c7cb8bc87987470c96d33fcaafc938ed
224a6bf052ef415db242df5d459fd069,2023-11-27T19:31:41Z,Favorite Duet,https://open.spotify.com/playlist/2Tzw9JCPpXwdrBpOJhugfi,c7cb8bc87987470c96d33fcaafc938ed
a9dee34a2b124a44916717ef6838856d,2023-11-27T19:31:42Z,Traveler's Pinboard,https://open.spotify.com/playlist/0JkNmK0zsshXRGI4BXu3Eh,c7cb8bc87987470c96d33fcaafc938ed
29773ea36a624f7ab7513d88cebee95d,2023-11-27T19:31:42Z,Name Checks,https://open.spotify.com/playlist/33pvHxA518SZlu8eWhV8ly,c7cb8bc87987470c96d33fcaafc938ed
b81c0eb6157d4fac92b8cdbc1c99991b,2023-11-27T19:31:43Z,Instant Fandom,https://open.spotify.com/playlist/3zJyGi5XPrKlEjOAQE8QL2,c7cb8bc87987470c96d33fcaafc938ed
6565d179ecfa4bf6a8f3ac6f34053e4e,2023-08-11T03:37:48Z,Summer Songs,https://open.spotify.com/playlist/5HqW22RcDmiThwM8vumBJB,062f3f8c5918432b80efae91fe94aa2b
22b41ab58ea945d89b4049d99dd6a463,2023-08-14T14:57:40Z,My Toddler Snorted Cocaine,https://open.spotify.com/playlist/77UOHanUnOm2uwZdmxAwz9,062f3f8c5918432b80efae91fe94aa2b
2581df3d868544c4a1553b27fc22bb4c,2023-08-14T14:57:40Z,Driving in the Dark,https://open.spotify.com/playlist/0a1jimTw2P6B4CrS1m8jiM,062f3f8c5918432b80efae91fe94aa2b
44773630ff154e959da6525a2bfebe82,2023-08-14T14:57:40Z,Road Trip!,https://open.spotify.com/playlist/63QhrtGqcK5UMAneq4mGil,062f3f8c5918432b80efae91fe94aa2b
3523ede414b347d6a7ef4d88b2798e7f,2023-08-14T14:57:41Z,Alien Party,https://open.spotify.com/playlist/61itUSKlSlDshTxDJbjmzZ,062f3f8c5918432b80efae91fe94aa2b
3c1ac21cb0354b6c9c1503ff0096e5ac,2023-08-14T14:57:41Z,Mood music for your poop,https://open.spotify.com/playlist/5VT3CLNWq5qSIvHhtD4zT8,062f3f8c5918432b80efae91fe94aa2b
0213ddd9a30048c6b4d3dd1e8703de16,2023-08-22T19:03:22Z,Classical Music,https://open.spotify.com/playlist/0iPqyZQX28CG0QtPdMs0ah,062f3f8c5918432b80efae91fe94aa2b
a17934c93ecd458fa418814450d4945a,2023-08-22T19:03:22Z,Dancefloor,https://open.spotify.com/playlist/3AdyCaso6z5v6eM8BkkTX1,062f3f8c5918432b80efae91fe94aa2b
b6736cbd7afc429fb1ce60a56a03cc3e,2023-08-22T19:03:23Z,Fistfighting a Rooster,https://open.spotify.com/playlist/53nTlM9Q3woaYuFsLvWWM5,062f3f8c5918432b80efae91fe94aa2b
193895e8556d46d794d36dc82fa30b39,2023-08-22T19:03:23Z,Ship Voyage,https://open.spotify.com/playlist/76g7xDzhyt5P7yQSocaIzx,062f3f8c5918432b80efae91fe94aa2b
63fcc020f52a43149f11e03e1169bc6f,2023-08-22T19:03:23Z,Songs not in English,https://open.spotify.com/playlist/6pIH1JRTmJo0mtsuqDAkI6,062f3f8c5918432b80efae91fe94aa2b
8b1a09b5cf01487584a18d461e4d070a,2023-08-28T04:36:00Z,Headbangers,https://open.spotify.com/playlist/4kWYxu5BVVlq4UuSj0eJZJ,062f3f8c5918432b80efae91fe94aa2b
dafc260cabad46a8a7b390a273087c17,2023-08-28T04:36:00Z,Female Popstars,https://open.spotify.com/playlist/20Ap7ANtmgT50i8lm6bj8o,062f3f8c5918432b80efae91fe94aa2b
447570d7339d431db6c3516deb2cea8a,2023-08-29T03:37:58Z,Covers,https://open.spotify.com/playlist/5xrGS8n1piqpShcMCq4ibn,062f3f8c5918432b80efae91fe94aa2b
c3f70196701a46e99a718c3ecec3557d,2023-08-29T03:37:58Z,Walk up Songs,https://open.spotify.com/playlist/1befMPNpuJT5KY6PoRqTvC,062f3f8c5918432b80efae91fe94aa2b
